"","phe","def","rep","bol"
"1","vegetative",0,1,10
"2","vegetative",0,2,9
"3","vegetative",0,3,8
"4","vegetative",0,4,8
"5","vegetative",0,5,10
"6","vegetative",0.25,1,11
"7","vegetative",0.25,2,9
"8","vegetative",0.25,3,10
"9","vegetative",0.25,4,10
"10","vegetative",0.25,5,10
"11","vegetative",0.5,1,8
"12","vegetative",0.5,2,8
"13","vegetative",0.5,3,10
"14","vegetative",0.5,4,8
"15","vegetative",0.5,5,9
"16","vegetative",0.75,1,9
"17","vegetative",0.75,2,7
"18","vegetative",0.75,3,7
"19","vegetative",0.75,4,8
"20","vegetative",0.75,5,9
"21","vegetative",1,1,8
"22","vegetative",1,2,6
"23","vegetative",1,3,6
"24","vegetative",1,4,5
"25","vegetative",1,5,6
"26","flower bud",0,1,7
"27","flower bud",0,2,8
"28","flower bud",0,3,8
"29","flower bud",0,4,9
"30","flower bud",0,5,10
"31","flower bud",0.25,1,9
"32","flower bud",0.25,2,12
"33","flower bud",0.25,3,7
"34","flower bud",0.25,4,10
"35","flower bud",0.25,5,9
"36","flower bud",0.5,1,8
"37","flower bud",0.5,2,9
"38","flower bud",0.5,3,9
"39","flower bud",0.5,4,10
"40","flower bud",0.5,5,8
"41","flower bud",0.75,1,11
"42","flower bud",0.75,2,10
"43","flower bud",0.75,3,7
"44","flower bud",0.75,4,8
"45","flower bud",0.75,5,8
"46","flower bud",1,1,7
"47","flower bud",1,2,7
"48","flower bud",1,3,7
"49","flower bud",1,4,7
"50","flower bud",1,5,8
"51","blossom",0,1,10
"52","blossom",0,2,9
"53","blossom",0,3,8
"54","blossom",0,4,12
"55","blossom",0,5,8
"56","blossom",0.25,1,7
"57","blossom",0.25,2,5
"58","blossom",0.25,3,5
"59","blossom",0.25,4,7
"60","blossom",0.25,5,5
"61","blossom",0.5,1,6
"62","blossom",0.5,2,5
"63","blossom",0.5,3,7
"64","blossom",0.5,4,4
"65","blossom",0.5,5,7
"66","blossom",0.75,1,8
"67","blossom",0.75,2,5
"68","blossom",0.75,3,7
"69","blossom",0.75,4,6
"70","blossom",0.75,5,4
"71","blossom",1,1,5
"72","blossom",1,2,5
"73","blossom",1,3,4
"74","blossom",1,4,4
"75","blossom",1,5,5
"76","boll",0,1,8
"77","boll",0,2,10
"78","boll",0,3,7
"79","boll",0,4,8
"80","boll",0,5,10
"81","boll",0.25,1,9
"82","boll",0.25,2,6
"83","boll",0.25,3,6
"84","boll",0.25,4,8
"85","boll",0.25,5,6
"86","boll",0.5,1,9
"87","boll",0.5,2,7
"88","boll",0.5,3,11
"89","boll",0.5,4,8
"90","boll",0.5,5,9
"91","boll",0.75,1,6
"92","boll",0.75,2,6
"93","boll",0.75,3,6
"94","boll",0.75,4,6
"95","boll",0.75,5,7
"96","boll",1,1,3
"97","boll",1,2,3
"98","boll",1,3,2
"99","boll",1,4,4
"100","boll",1,5,3
"101","boll open",0,1,11
"102","boll open",0,2,7
"103","boll open",0,3,9
"104","boll open",0,4,12
"105","boll open",0,5,11
"106","boll open",0.25,1,9
"107","boll open",0.25,2,13
"108","boll open",0.25,3,8
"109","boll open",0.25,4,10
"110","boll open",0.25,5,10
"111","boll open",0.5,1,9
"112","boll open",0.5,2,7
"113","boll open",0.5,3,7
"114","boll open",0.5,4,9
"115","boll open",0.5,5,9
"116","boll open",0.75,1,8
"117","boll open",0.75,2,8
"118","boll open",0.75,3,10
"119","boll open",0.75,4,8
"120","boll open",0.75,5,10
"121","boll open",1,1,9
"122","boll open",1,2,8
"123","boll open",1,3,10
"124","boll open",1,4,8
"125","boll open",1,5,10
